lat,lon,type
47.381631670924591,8.576311253824036,0
47.381633197507796,8.5762912008507168,0
47.38161789375993,8.5763106229986796,0
47.381630119638096,8.5763316566114121,0
47.381645273766544,8.5763127624421482,0
47.381643637814996,8.5763327685462425,1
47.381617480924213,8.5763301131887246,1
47.381619185281735,8.5762901299514329,1
47.381645598522269,8.5762924348395426,1
47.3814659640204,8.5765162215469903,2
47.381457077610172,8.5764736661945342,2
47.381386979368223,8.5762920655709394,2
47.381491486629237,8.5761857174487552,2
47.381634844223363,8.576038599394181,2
47.381700351168561,8.5759711173311679,2
47.381836492446816,8.5762634043879817,2
